,genre_name,id,vote_average,popularity,pal_intensity_1,pal_intensity_2,pal_intensity_3,pal_intensity_4,pal_intensity_5,avg_red,avg_blue,avg_green
50,Romance,261470,7.5,0.968365,700,718,706,721,727,242.80000000000001,237.80000000000001,233.80000000000001
51,Thriller,1696,6.6,1.301024,761,42,45,39,48,65.599999999999994,60.399999999999999,61.0
52,Romance,97365,7.1,1.468216,759,761,0,662,3,140.80000000000001,147.19999999999999,149.0
53,Thriller,146238,5.5,2.035632,25,28,31,22,691,63.399999999999999,56.600000000000001,39.399999999999999
54,Drama,96714,6.8,0.167223,17,490,14,491,20,55.799999999999997,74.0,76.599999999999994
55,Thriller,291092,7.0,0.396424,0,3,6,9,12,2.0,2.0,2.0
56,Thriller,166666,6.6,1.466279,2,5,8,0,10,1.0,1.2,2.7999999999999998
57,Action,71676,4.7,2.539725,57,60,54,66,63,20.0,20.0,20.0
58,Action,6499,4.7,0.68454,17,14,20,11,23,6.0,8.0,3.0
59,Action,140212,6.6,0.281709,3,6,0,9,12,2.0,2.0,2.0
60,Documentary,104155,5.0,0.170301,765,762,763,759,764,254.19999999999999,254.40000000000001,254.0
61,Thriller,222461,5.6,0.430094,3,0,6,5,9,1.3999999999999999,1.3999999999999999,1.8
62,Action,9947,4.9,1.834831,301,304,300,303,307,185.40000000000001,84.799999999999997,32.799999999999997
63,Comedy,58547,5.7,0.967407,3,12,15,9,17,5.4000000000000004,4.5999999999999996,1.2
64,Thriller,238636,6.6,5.908709,9,12,34,13,35,0.20000000000000001,8.0,12.4
65,Drama,282983,7.7,0.275316,0,430,271,3,432,124.8,45.600000000000001,56.799999999999997
66,Drama,278247,6.1,0.229696,256,256,256,259,233,34.0,65.400000000000006,152.59999999999999
67,Romance,413471,5.0,0.413107,223,650,765,699,653,201.59999999999999,193.59999999999999,202.80000000000001
68,Comedy,12634,4.9,0.521385,504,592,595,595,598,188.40000000000001,217.80000000000001,170.59999999999999
69,Documentary,128216,7.0,0.448488,765,762,759,748,755,252.19999999999999,252.40000000000001,253.19999999999999
70,Romance,366514,5.9,1.467787,82,85,82,85,84,29.0,22.399999999999999,32.200000000000003
71,Action,254473,5.8,1.211412,765,762,764,63,759,207.40000000000001,207.59999999999999,207.59999999999999
72,Action,13360,3.2,1.091358,0,2,3,6,1,0.59999999999999998,0.20000000000000001,1.6000000000000001
73,Romance,4599,5.8,1.332625,448,450,765,763,764,202.59999999999999,208.0,227.40000000000001
74,Comedy,9896,6.0,2.462079,765,764,763,534,445,196.0,218.80000000000001,239.40000000000001
75,Action,12645,6.1,0.373041,684,681,0,678,680,197.59999999999999,187.19999999999999,159.80000000000001
76,Romance,5852,5.6,0.436206,765,762,763,760,759,254.40000000000001,254.59999999999999,252.80000000000001
77,Action,249070,5.5,2.880177,0,3,1,6,2,0.80000000000000004,0.59999999999999998,1.0
78,Action,1487,6.4,3.590056,0,2,1,4,3,0.20000000000000001,0.40000000000000002,1.3999999999999999
79,Action,4858,5.5,1.100223,313,762,762,760,316,245.19999999999999,171.59999999999999,165.80000000000001
80,Thriller,26390,6.3,1.154874,6,714,711,708,708,192.19999999999999,194.19999999999999,183.0
81,Comedy,308639,7.2,1.988995,765,764,763,764,353,210.40000000000001,233.19999999999999,238.19999999999999
82,Thriller,59,6.9,2.451456,0,723,2,720,726,139.80000000000001,144.0,150.40000000000001
83,Drama,20536,6.2,0.284376,30,27,33,24,36,10.0,10.0,10.0
84,Romance,55347,6.8,1.10244,765,764,762,4,764,203.59999999999999,203.59999999999999,204.59999999999999
85,Comedy,11045,4.7,1.532778,765,0,6,762,3,102.40000000000001,102.40000000000001,102.40000000000001
86,Comedy,23706,4.6,1.274309,765,0,764,764,763,203.80000000000001,203.80000000000001,203.59999999999999
87,Romance,9962,6.0,0.662717,750,727,747,724,749,245.80000000000001,245.40000000000001,248.19999999999999
88,Comedy,9447,5.2,0.671319,664,661,667,670,683,209.80000000000001,215.0,244.19999999999999
89,Drama,20024,6.5,0.357839,764,762,220,223,213,133.40000000000001,143.80000000000001,159.19999999999999
90,Drama,21641,7.1,0.508262,765,7,6,10,2,51.799999999999997,51.200000000000003,55.0
91,Romance,10050,5.5,0.626482,231,193,228,228,231,32.600000000000001,53.0,136.59999999999999
92,Romance,19955,6.5,0.213463,765,762,759,756,753,253.0,253.0,253.0
93,Action,272,7.4,5.915477,0,1,3,1,3,1.0,0.40000000000000002,0.20000000000000001
94,Action,38234,7.4,4.617119,0,3,2,765,1,51.399999999999999,51.200000000000003,51.600000000000001
95,Drama,251994,5.2,0.690143,16,101,18,104,98,22.600000000000001,22.399999999999999,22.399999999999999
96,Action,8884,5.7,1.295646,8,11,6,9,12,6.4000000000000004,1.2,1.6000000000000001
97,Animation,393559,8.0,1.477608,631,632,629,628,634,253.80000000000001,238.40000000000001,138.59999999999999
98,Romance,16664,6.5,0.432018,451,469,454,402,416,154.19999999999999,172.19999999999999,112.0
99,Animation,13158,6.4,0.259038,35,38,41,32,44,14.0,13.0,11.0
100,Romance,1391,7.3,1.93233,0,3,1,1,2,0.40000000000000002,0.40000000000000002,0.59999999999999998
101,Action,282631,6.9,0.79545,20,23,17,26,14,7.0,5.0,8.0
102,Romance,24446,6.2,0.352938,743,740,737,734,746,246.0,246.0,248.0
103,Thriller,228973,5.8,1.254663,405,380,413,421,25,98.200000000000003,115.8,114.8
104,Comedy,46523,6.4,0.451938,765,763,764,764,466,234.59999999999999,234.80000000000001,235.0
105,Comedy,41733,6.2,2.713685,0,3,6,765,1,51.799999999999997,51.600000000000001,51.600000000000001
106,Comedy,14198,6.6,0.343295,765,763,764,764,762,254.59999999999999,254.59999999999999,254.40000000000001
107,Comedy,40194,4.6,0.822957,765,763,764,764,762,254.59999999999999,254.59999999999999,254.40000000000001
108,Drama,14050,6.5,0.237374,724,726,234,721,724,202.40000000000001,214.59999999999999,208.80000000000001
109,Romance,5460,4.3,0.675082,3,9,6,0,12,2.0,2.0,2.0
110,Documentary,324253,6.9,0.141309,104,101,107,98,9,13.800000000000001,25.800000000000001,44.200000000000003
111,Comedy,9786,6.1,0.679836,6,0,682,682,680,149.59999999999999,146.59999999999999,113.8
112,Comedy,9291,6.1,1.914733,0,765,2,1,1,51.200000000000003,51.200000000000003,51.399999999999999
113,Thriller,211065,5.7,0.032016,765,762,744,753,738,250.80000000000001,250.80000000000001,250.80000000000001
114,Comedy,42433,4.4,0.071489,765,762,763,764,764,254.59999999999999,254.59999999999999,254.40000000000001
115,Thriller,259761,7.4,0.054759,0,7,3,9,6,1.8,1.8,1.3999999999999999
116,Action,34751,5.3,0.341428,35,38,32,41,29,11.0,11.0,13.0
117,Action,242310,5.1,1.835671,27,0,24,33,3,5.7999999999999998,5.7999999999999998,5.7999999999999998
118,Action,200085,6.8,0.775558,5,8,2,3,11,1.3999999999999999,1.3999999999999999,3.0
119,Thriller,9828,6.4,0.61867,722,725,729,732,719,243.0,244.0,238.40000000000001
120,Drama,39641,5.9,0.323358,545,701,539,704,542,164.80000000000001,206.19999999999999,235.19999999999999
121,Comedy,17680,5.3,0.538188,20,23,17,26,14,9.0,5.0,6.0
122,Comedy,116741,6.1,0.081119,0,6,3,12,762,52.200000000000003,52.200000000000003,52.200000000000003
